Plan_Type,Smoker_Status,Number_of_Pref_classes,Number_Of_Deaths,Actual_Death_Amount,Exposure_Amount,AE_Expected_Death_QX7580E_by_Amount,AE_Expected_Death_QX2001VBT_by_Amount,AE_Expected_Death_QX2008VBT_by_Amount,AE_Expected_Death_QX2008VBTLU_by_Amount,AE_Expected_Death_QX2015VBT_by_Amount,AE_ExpDeathQx2015VBTwMI_byAmt,AE_Cen2MomP1wMI_byAmt,AE_Cen2MomP2wMI_byAmt,AE_Cen3MomP1wMI_byAmt,AE_Cen3MomP2wMI_byAmt,AE_Cen3MomP3wMI_byAmt,AE_Cen2MomP1_byAmt,AE_Cen2MomP2_byAmt,AE_Cen3MomP1_byAmt,AE_Cen3MomP2_byAmt,AE_Cen3MomP3_byAmt
Perm,UNKNOWN,0.0,19598.0,404458597.0,242974133573.52075,0.6380,0.7855,0.8975,0.7745,0.9817,0.9978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VLSG,Smoker,0.0,4050.0,262641783.0,31487426743.01526,0.9615,0.7668,0.8680,0.7618,0.9525,0.9502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,NonSmoker,0.0,15924.0,2749269497.0,364879169567.4964,0.5795,0.7060,0.8419,0.6730,0.9856,0.9826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Perm,NonSmoker,2.0,54421.0,9175129011.0,2235950818358.9243,0.4144,0.5713,0.7911,0.6092,0.9012,0.8968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VL,Smoker,2.0,2914.0,510687885.0,104824449866.27623,0.9296,0.6966,0.8574,0.6786,0.9298,0.9235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UL,UNKNOWN,0.0,2567.0,155707065.0,12652064609.712337,0.6886,0.8299,0.9658,0.8116,1.0675,1.0841,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
Other,UNKNOWN,0.0,3.0,392803.0,973221436.103245,0.4143,0.5362,0.5647,0.5016,0.6685,0.6796,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
Term,Smoker,0.0,28964.0,2332811615.0,577004344048.2504,1.0842,0.8065,1.0242,0.7762,1.1574,1.1482,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000
Perm,Smoker,0.0,215513.0,7799979086.0,531063960445.4056,0.9810,0.8230,0.8847,0.8066,1.0545,1.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,NonSmoker,3.0,32598.0,18984599578.0,3209941177412.0073,0.4945,0.5977,0.7024,0.5439,0.8285,0.8272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UL,NonSmoker,0.0,286570.0,23818428126.0,2718356519558.0093,0.5569,0.7377,0.9789,0.7963,1.1400,1.1327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,,0.0,310.0,30029654.0,63413442129.74939,0.1539,0.1678,0.2129,0.2055,0.2134,0.2180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VLSG,NonSmoker,4.0,824.0,314331107.0,338178819678.008,0.3115,0.4802,0.6829,0.4002,0.8235,0.8219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ULSG,Smoker,0.0,2949.0,327420231.0,58333310712.28316,1.3957,1.0871,1.1766,0.9969,1.2830,1.2770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Other,,0.0,2440.0,51461933.0,4000739300.6073246,0.6150,0.7264,0.8556,0.7386,0.9471,0.9386,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
VLSG,NonSmoker,3.0,2202.0,1118869299.0,755718147047.3951,0.3659,0.5330,0.7559,0.4753,0.9030,0.9024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Term,,0.0,18253.0,441377608.0,159827915615.40176,0.6655,0.8569,1.1123,0.7862,1.2574,1.2458,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
UL,Smoker,2.0,9553.0,1081439274.0,139723444965.29532,1.0983,0.8476,0.9283,0.7692,1.0097,1.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Other,Smoker,2.0,41.0,10129376.0,9342498868.5024,0.4804,0.3713,0.4037,0.2776,0.4686,0.4678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
